,"BUILDING CLASS CATEGORY
","ADDRESS
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
",Population,Avg. Income/H/hold,address,full_address,lat,long,geoloc1,closest_subway,distance_from_subway
0,01 ONE FAMILY DWELLINGS,743 EAST 6TH STREET,10009,1.0,1.0,2.0,"2,090","3,680",1940.0,S1,"3,200,000",7/24/2019,"58,595","$40,176.00","743 EAST 6TH STREET, New York ","743 EAST 6TH STREET, New York 10009",40.722899350000006,-73.97739986039504,"[-73.97739986039504, 40.722899350000006]","[-73.98168087489128, 40.73097497580066]",145.0
3,03 THREE FAMILY DWELLINGS,263 EAST 7TH STREET,10009,3.0,0.0,3.0,"2,430","3,600",1899.0,C0,"6,300,000",4/30/2019,"58,595","$40,176.00","263 EAST 7TH STREET, New York ","263 EAST 7TH STREET, New York 10009",40.7236251,-73.97741139527524,"[-73.97741139527524, 40.7236251]","[-73.98168087489128, 40.73097497580066]",145.0
5,07 RENTALS - WALKUP APARTMENTS,300 EAST 3RD STREET,10009,12.0,0.0,12.0,"2,393","7,989",2001.0,C1,"1,950,000",8/8/2019,"58,595","$40,176.00","300 EAST 3RD STREET, New York ","300 EAST 3RD STREET, New York 10009",40.72101325,-73.97949872019987,"[-73.97949872019987, 40.72101325]","[-73.98740940202974, 40.71830605618619]",10.0
6,07 RENTALS - WALKUP APARTMENTS,332 EAST 4TH STREET,10009,28.0,2.0,30.0,"4,651","17,478",1920.0,C7,"14,000,000",1/9/2019,"58,595","$40,176.00","332 EAST 4TH STREET, New York ","332 EAST 4TH STREET, New York 10009",40.72158705,-73.97902752063497,"[-73.97902752063497, 40.72158705]","[-73.98740940202974, 40.71830605618619]",10.0
8,07 RENTALS - WALKUP APARTMENTS,"262 EAST 7TH STREET, 4",10009,4.0,0.0,4.0,"2,059","4,154",1900.0,C3,"600,000",12/12/2019,"58,595","$40,176.00","262 EAST 7TH STREET, 4, New York ","262 EAST 7TH STREET, 4, New York 10009",40.72969203707693,-73.60206121150173,"[-73.60206121150173, 40.72969203707693]","[-73.78381700176453, 40.712645666744045]",278.0
9,07 RENTALS - WALKUP APARTMENTS,268 EAST 7TH STREET,10009,4.0,0.0,4.0,"2,065","3,491",1900.0,C3,"4,350,000",10/31/2019,"58,595","$40,176.00","268 EAST 7TH STREET, New York ","268 EAST 7TH STREET, New York 10009",40.72327575,-73.9773859488208,"[-73.9773859488208, 40.72327575]","[-73.98168087489128, 40.73097497580066]",145.0
10,07 RENTALS - WALKUP APARTMENTS,278 EAST 7TH STREET,10009,19.0,0.0,19.0,"2,772","13,248",1920.0,C4,"1,269,168",12/19/2019,"58,595","$40,176.00","278 EAST 7TH STREET, New York ","278 EAST 7TH STREET, New York 10009",40.72310555,-73.977057129375,"[-73.977057129375, 40.72310555]","[-73.98168087489128, 40.73097497580066]",145.0
12,07 RENTALS - WALKUP APARTMENTS,"275 EAST 7TH STREET, 3",10009,5.0,0.0,5.0,"2,169","6,294",1900.0,C2,"1,175,000",8/6/2019,"58,595","$40,176.00","275 EAST 7TH STREET, 3, New York ","275 EAST 7TH STREET, 3, New York 10009",40.729730709239035,-73.60188820559152,"[-73.60188820559152, 40.729730709239035]","[-73.78381700176453, 40.712645666744045]",278.0
14,07 RENTALS - WALKUP APARTMENTS,"434 EAST 10TH STREET, 4",10009,7.0,1.0,8.0,"4,337","14,347",1920.0,C7,"1,550,000",5/22/2019,"58,595","$40,176.00","434 EAST 10TH STREET, 4, New York ","434 EAST 10TH STREET, 4, New York 10009",40.66769695652174,-73.98517769565218,"[-73.98517769565218, 40.66769695652174]","[-73.98830199974512, 40.670846666842756]",381.0
16,07 RENTALS - WALKUP APARTMENTS,620 EAST 6TH STREET,10009,22.0,2.0,24.0,"3,445","13,546",1920.0,C7,"388,389",2/27/2019,"58,595","$40,176.00","620 EAST 6TH STREET, New York ","620 EAST 6TH STREET, New York 10009",40.723899,-73.98086407262397,"[-73.98086407262397, 40.723899]","[-73.98168087489128, 40.73097497580066]",145.0
22,07 RENTALS - WALKUP APARTMENTS,230 EAST 4TH STREET,10009,18.0,0.0,18.0,"4,616","18,690",1900.0,C1,"2,583,642",7/30/2019,"58,595","$40,176.00","230 EAST 4TH STREET, New York ","230 EAST 4TH STREET, New York 10009",40.723376349999995,-73.9832904992956,"[-73.9832904992956, 40.723376349999995]","[-73.98740940202974, 40.71830605618619]",10.0
23,07 RENTALS - WALKUP APARTMENTS,94 AVENUE A,10009,18.0,1.0,19.0,"2,763","9,156",1920.0,C7,"9,600,000",3/14/2019,"58,595","$40,176.00","94 AVENUE A, New York ","94 AVENUE A, New York 10009",40.725505,-73.9837463,"[-73.9837463, 40.725505]","[-73.98168087489128, 40.73097497580066]",145.0
24,07 RENTALS - WALKUP APARTMENTS,519 EAST 6TH STREET,10009,10.0,0.0,10.0,"2,272","7,295",1920.0,C4,"5,250,000",6/7/2019,"58,595","$40,176.00","519 EAST 6TH STREET, New York ","519 EAST 6TH STREET, New York 10009",40.72517155,-73.98281975508104,"[-73.98281975508104, 40.72517155]","[-73.98168087489128, 40.73097497580066]",145.0
27,07 RENTALS - WALKUP APARTMENTS,182-184 AVENUE A,10009,32.0,0.0,32.0,"4,918","15,392",1920.0,C1,"11,500,000",7/2/2019,"58,595","$40,176.00","182-184 AVENUE A, New York ","182-184 AVENUE A, New York 10009",40.941993466666666,-73.06423873333334,"[-73.06423873333334, 40.941993466666666]","[-73.78381700176453, 40.712645666744045]",278.0
29,07 RENTALS - WALKUP APARTMENTS,"544 EAST 13TH STREET, GA",10009,14.0,0.0,14.0,"2,468","10,888",1900.0,C4,"102,083",1/31/2019,"58,595","$40,176.00","544 EAST 13TH STREET, GA, New York ","544 EAST 13TH STREET, GA, New York 10009",40.72878835,-73.97908474398733,"[-73.97908474398733, 40.72878835]","[-73.98168087489128, 40.73097497580066]",145.0
31,07 RENTALS - WALKUP APARTMENTS,"541 EAST 12TH STREET, 4",10009,7.0,1.0,8.0,"1,850","6,005",1900.0,C4,"1,030,000",4/29/2019,"58,595","$40,176.00","541 EAST 12TH STREET, 4, New York ","541 EAST 12TH STREET, 4, New York 10009",40.6633823030303,-73.97935116666666,"[-73.97935116666666, 40.6633823030303]","[-73.98025117900944, 40.66624469001985]",107.0
32,07 RENTALS - WALKUP APARTMENTS,535 EAST 12TH STREET,10009,8.0,1.0,9.0,"2,581","5,688",1900.0,C4,2,12/18/2019,"58,595","$40,176.00","535 EAST 12TH STREET, New York ","535 EAST 12TH STREET, New York 10009",40.7286146,-73.97960818481964,"[-73.97960818481964, 40.7286146]","[-73.98168087489128, 40.73097497580066]",145.0
117,14 RENTALS - 4-10 UNIT,"629 EAST 6TH STREET, 5",10009,4.0,1.0,5.0,"2,271","6,985",1900.0,S4,"1,337,000",11/5/2019,"58,595","$40,176.00","629 EAST 6TH STREET, 5, New York ","629 EAST 6TH STREET, 5, New York 10009",40.72401575,-73.98007526560926,"[-73.98007526560926, 40.72401575]","[-73.98168087489128, 40.73097497580066]",145.0
119,14 RENTALS - 4-10 UNIT,204 AVENUE A,10009,6.0,2.0,8.0,"2,472","5,048",1910.0,S9,2,12/18/2019,"58,595","$40,176.00","204 AVENUE A, New York ","204 AVENUE A, New York 10009",40.72941125,-73.98081860014335,"[-73.98081860014335, 40.72941125]","[-73.98168087489128, 40.73097497580066]",145.0
